team_name,polymarket_market_name,polymarket_outright_probability,polymarket_best_bid,polymarket_best_ask,polymarket_last_trade_price,polymarket_market_slug,polymarket_event_url,polymarket_snapshot_at
Congo DR,Congo DR,0.0015,0.001,0.002,0.001,will-congo-dr-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Croatia,Croatia,0.0085,0.008,0.009,0.009,will-croatia-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Curaçao,Curaçao,0.0005,,0.001,0.001,will-curaao-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Czechia,Czechia,0.0025,0.002,0.003,0.002,will-czechia-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Côte d'Ivoire,Ivory Coast,0.0025,0.002,0.003,0.002,will-ivory-coast-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Ecuador,Ecuador,0.0085,0.008,0.009,0.008,will-ecuador-win-the-2026-fifa-world-cup-986,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Egypt,Egypt,0.0025,0.002,0.003,0.002,will-egypt-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
England,England,0.1115,0.111,0.112,0.111,will-england-win-the-2026-fifa-world-cup-937,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
France,France,0.1655,0.165,0.166,0.165,will-france-win-the-2026-fifa-world-cup-924,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Germany,Germany,0.0515,0.051,0.052,0.052,will-germany-win-the-2026-fifa-world-cup-467,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Ghana,Ghana,0.0025,0.002,0.003,0.002,will-ghana-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Haiti,Haiti,0.0005,,0.001,0.001,will-haiti-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Iran,Iran,0.0015,0.001,0.002,0.001,will-iran-win-the-2026-fifa-world-cup-788,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Iraq,Iraq,0.0005,,0.001,0.001,will-iraq-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Japan,Japan,0.0175,0.017,0.018,0.018,will-japan-win-the-2026-fifa-world-cup-112,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Jordan,Jordan,0.0005,,0.001,0.001,will-jordan-win-the-2026-fifa-world-cup-233,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Mexico,Mexico,0.0105,0.01,0.011,0.01,will-mexico-win-the-2026-fifa-world-cup-529,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Morocco,Morocco,0.0145,0.014,0.015,0.014,will-morocco-win-the-2026-fifa-world-cup-464,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Netherlands,Netherlands,0.0425,0.042,0.043,0.043,will-netherlands-win-the-2026-fifa-world-cup-739,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
New Zealand,New Zealand,0.0005,,0.001,0.001,will-new-zealand-win-the-2026-fifa-world-cup-635,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Norway,Norway,0.0285,0.028,0.029,0.029,will-norway-win-the-2026-fifa-world-cup-893,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Panama,Panama,0.0005,,0.001,0.001,will-team-z-win-the-2026-fifa-world-cup-316,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Paraguay,Paraguay,0.0025,0.002,0.003,0.002,will-paraguay-win-the-2026-fifa-world-cup-967,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Portugal,Portugal,0.1015,0.101,0.102,0.102,will-portugal-win-the-2026-fifa-world-cup-912,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Qatar,Qatar,0.0005,,0.001,0.001,will-qatar-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Saudi Arabia,Saudi Arabia,0.0005,,0.001,0.001,will-saudi-arabia-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Scotland,Scotland,0.0025,0.002,0.003,0.002,will-scotland-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Senegal,Senegal,0.0065,0.006,0.007,0.006,will-senegal-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
South Africa,South Africa,0.0005,,0.001,0.001,will-south-africa-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
South Korea,South Korea,0.0025,0.002,0.003,0.002,will-south-korea-win-the-2026-fifa-world-cup-485,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Spain,Spain,0.1685,0.168,0.169,0.168,will-spain-win-the-2026-fifa-world-cup-963,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Sweden,Sweden,0.0055,0.005,0.006,0.005,will-sweden-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Switzerland,Switzerland,0.0115,0.011,0.012,0.011,will-switzerland-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Tunisia,Tunisia,0.0015,0.001,0.002,0.001,will-tunisia-win-the-2026-fifa-world-cup-165,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Turkiye,Turkiye,0.0075,0.007,0.008,0.007,will-turkiye-win-the-2026-fifa-world-cup,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
USA,USA,0.0115,0.011,0.012,0.011,will-usa-win-the-2026-fifa-world-cup-467,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Uruguay,Uruguay,0.0105,0.01,0.011,0.01,will-uruguay-win-the-2026-fifa-world-cup-932,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
Uzbekistan,Uzbekistan,0.0005,,0.001,0.001,will-uzbekistan-win-the-2026-fifa-world-cup-773,https://polymarket.com/event/2026-fifa-world-cup-winner-595,2026-05-30T04:55:21.567429Z
